no,smiles
TX-1,[H]c1cccc2sc3cccc([H])c3c(=O)c12
TX-2,[H]c1cccc2sc3cccc(C)c3c(=O)c12
TX-3,[H]c1cccc2sc3cccc(CC)c3c(=O)c12
TX-4,[H]c1cccc2sc3cccc(CCC)c3c(=O)c12
TX-5,[H]c1cccc2sc3cccc(CCCC)c3c(=O)c12
TX-6,[H]c1cccc2sc3cccc(C(C)C)c3c(=O)c12
TX-7,[H]c1cccc2sc3cccc(C(C)(C)C)c3c(=O)c12
TX-8,[H]c1cccc2sc3cccc(O)c3c(=O)c12
TX-9,[H]c1cccc2sc3cccc(OC)c3c(=O)c12
TX-10,[H]c1cccc2sc3cccc(OCC)c3c(=O)c12
TX-11,[H]c1cccc2sc3cccc(N)c3c(=O)c12
TX-12,[H]c1cccc2sc3cccc(NC)c3c(=O)c12
TX-13,[H]c1cccc2sc3cccc(N(C)C)c3c(=O)c12
TX-14,[H]c1cccc2sc3cccc(F)c3c(=O)c12
TX-15,[H]c1cccc2sc3cccc(Cl)c3c(=O)c12
TX-16,[H]c1cccc2sc3cccc(Br)c3c(=O)c12
TX-17,[H]c1cccc2sc3cccc(I)c3c(=O)c12
TX-18,[H]c1cccc2sc3cccc(C#N)c3c(=O)c12
TX-19,[H]c1cccc2sc3cccc(C(C)=O)c3c(=O)c12
TX-20,[H]c1cccc2sc3cccc(C(F)(F)F)c3c(=O)c12
TX-21,[H]c1cccc2sc3cccc([N+](=O)[O-])c3c(=O)c12
TX-22,[H]c1cccc2sc3cccc(-c4ccccc4)c3c(=O)c12
TX-23,[H]c1cccc2sc3cccc(Nc4ccccc4)c3c(=O)c12
TX-24,Cc1cccc2sc3cccc(C)c3c(=O)c12
TX-25,CCc1cccc2sc3cccc(C)c3c(=O)c12
TX-26,CCCc1cccc2sc3cccc(C)c3c(=O)c12
TX-27,CCCCc1cccc2sc3cccc(C)c3c(=O)c12
TX-28,Cc1cccc2sc3cccc(C(C)C)c3c(=O)c12
TX-29,Cc1cccc2sc3cccc(C(C)(C)C)c3c(=O)c12
TX-30,Cc1cccc2sc3cccc(O)c3c(=O)c12
TX-31,COc1cccc2sc3cccc(C)c3c(=O)c12
TX-32,CCOc1cccc2sc3cccc(C)c3c(=O)c12
TX-33,Cc1cccc2sc3cccc(N)c3c(=O)c12
TX-34,CNc1cccc2sc3cccc(C)c3c(=O)c12
TX-35,Cc1cccc2sc3cccc(N(C)C)c3c(=O)c12
TX-36,Cc1cccc2sc3cccc(F)c3c(=O)c12
TX-37,Cc1cccc2sc3cccc(Cl)c3c(=O)c12
TX-38,Cc1cccc2sc3cccc(Br)c3c(=O)c12
TX-39,Cc1cccc2sc3cccc(I)c3c(=O)c12
TX-40,Cc1cccc2sc3cccc(C#N)c3c(=O)c12
TX-41,CC(=O)c1cccc2sc3cccc(C)c3c(=O)c12
TX-42,Cc1cccc2sc3cccc(C(F)(F)F)c3c(=O)c12
TX-43,Cc1cccc2sc3cccc([N+](=O)[O-])c3c(=O)c12
TX-44,Cc1cccc2sc3cccc(-c4ccccc4)c3c(=O)c12
TX-45,Cc1cccc2sc3cccc(Nc4ccccc4)c3c(=O)c12
TX-46,CCc1cccc2sc3cccc(CC)c3c(=O)c12
TX-47,CCCc1cccc2sc3cccc(CC)c3c(=O)c12
TX-48,CCCCc1cccc2sc3cccc(CC)c3c(=O)c12
TX-49,CCc1cccc2sc3cccc(C(C)C)c3c(=O)c12
TX-50,CCc1cccc2sc3cccc(C(C)(C)C)c3c(=O)c12
TX-51,CCc1cccc2sc3cccc(O)c3c(=O)c12
TX-52,CCc1cccc2sc3cccc(OC)c3c(=O)c12
TX-53,CCOc1cccc2sc3cccc(CC)c3c(=O)c12
TX-54,CCc1cccc2sc3cccc(N)c3c(=O)c12
TX-55,CCc1cccc2sc3cccc(NC)c3c(=O)c12
TX-56,CCc1cccc2sc3cccc(N(C)C)c3c(=O)c12
TX-57,CCc1cccc2sc3cccc(F)c3c(=O)c12
TX-58,CCc1cccc2sc3cccc(Cl)c3c(=O)c12
TX-59,CCc1cccc2sc3cccc(Br)c3c(=O)c12
TX-60,CCc1cccc2sc3cccc(I)c3c(=O)c12
TX-61,CCc1cccc2sc3cccc(C#N)c3c(=O)c12
TX-62,CCc1cccc2sc3cccc(C(C)=O)c3c(=O)c12
TX-63,CCc1cccc2sc3cccc(C(F)(F)F)c3c(=O)c12
TX-64,CCc1cccc2sc3cccc([N+](=O)[O-])c3c(=O)c12
TX-65,CCc1cccc2sc3cccc(-c4ccccc4)c3c(=O)c12
TX-66,CCc1cccc2sc3cccc(Nc4ccccc4)c3c(=O)c12
TX-67,CCCc1cccc2sc3cccc(CCC)c3c(=O)c12
TX-68,CCCCc1cccc2sc3cccc(CCC)c3c(=O)c12
