name,smiles,"energy(Ha,Triplet)","energy(Ha,Singlet)",energy,homo(Ha),homo,lumo(Ha),lumo
TX1-triplet.log,CC(c(cc1)cc2c1sc(ccc(C(F)(F)F)c3)c3c2=O)C,-1427.29607,-1427.388989,58.30760169,-0.14015,-3.81367579,-0.17658,-4.804986593
TX-1-triplet.log,CC(=O)c1c2ccccc2cc2c(=O)c3cc4ccccc4c(C)c3sc12,-1471.471768,-1471.52197,31.50225702,-0.16749,-4.557635091,-0.15189,-4.133137465
TX2-triplet.log,O=c(c(cc(cccc1)c1c2Nc3ccccc3)c2s4)c5c4c(c6ccccc6)c(cccc7)c7c5,-1796.625791,-1796.686358,38.00639817,-0.13736,-3.737756022,-0.14652,-3.987012321
TX-2-triplet.log,CC(C)c1cccc2c(=O)c3cccc([N+](=O)[O-])c3sc12,-1294.875971,-1294.92302,29.52371799,-0.18353,-4.994105728,-0.16427,-4.470014428
TX-3-triplet.log,COc1ccc2c(=O)c3ccc([N+](=O)[O-])cc3sc2c1,-1291.479411,-1291.554405,47.05948494,-0.16186,-4.404434987,-0.19123,-5.203633402
TX-4-triplet.log,Cc1ccc2sc3ccc(C(F)(F)F)cc3c(=O)c2c1,-1348.760043,-1348.852841,58.23167298,-0.14032,-3.818301726,-0.17626,-4.796278949
TX5-triplet.log,[H]c(cc1)cc2c1c(=O)c(ccc(Br)c3)c3s2,-3543.534497,-3543.629704,59.74334457,-0.14159,-3.852860186,-0.17929,-4.87872945
TX-5-triplet.log,CNc1ccc2cc3sc4cc5ccc([N+](=O)[O-])cc5cc4c(=O)c3cc2c1,-1578.613067,-1578.667479,34.14407412,-0.13561,-3.690136096,-0.14616,-3.977216222
TX6-triplet.log,CCc(ccc1)c2c1c(=O)c(cccc3C(F)(F)F)c3s2,-1388.020039,-1388.114636,59.36056347,-0.14344,-3.903201251,-0.1797,-4.889886118
TX-6-triplet.log,COc1ccc2cc3sc4cc5ccc(OC)cc5cc4c(=O)c3cc2c1,-1508.538981,-1508.602737,40.00752756,-0.13885,-3.778300988,-0.14981,-4.076537782
TX7-triplet.log,CCCc(cc1)cc2c1sc(ccc(OCC)c3)c3c2=O,-1244.248973,-1244.332579,52.46360106,-0.1296,-3.526595664,-0.16092,-4.378856283
TX-7-triplet.log,[H]c1c2ccccc2cc2c(=O)c3cc4ccccc4c(F)c3sc12,-1378.870268,-1378.940741,44.22251223,-0.14677,-3.993815167,-0.15821,-4.305113427
